[13:35:05.340] WARNING: CB100-2600577 [00:80:E1:27:AE:81] - No data received for 78.4 seconds
[13:35:05.340] WARNING: CB100-2598385 [00:80:E1:27:A5:F1] - No data received for 78.4 seconds
[13:35:05.340] WARNING: CB100-2599429 [00:80:E1:27:AA:05] - No data received for 78.3 seconds
[13:35:05.340] WARNING: CB100-2595836 [00:80:E1:27:9B:FC] - No data received for 78.4 seconds
[13:35:07.114] 
Sensor data processing ENABLED - 20-byte sensor data will be processed and displayed
[13:35:07.176] DATA_LOSS_DETECTED: CB100-2598385 - 78s jump detected (Total jumps: 2)
[13:35:07.176] CB100-2598385--> TS: 1766752502.861 | Pulse:      0 | Charge:     57 | Min:     0 | Max:     0 | ADC:      0 | Mean:   0.00 | Std:   0.00
[13:35:07.176] DATA_LOSS_DETECTED: CB100-2595836 - 79s jump detected (Total jumps: 2)
[13:35:07.176] CB100-2595836--> TS: 1766752505.679 | Pulse:      0 | Charge:     51 | Min:     0 | Max:     0 | ADC:      0 | Mean:   0.00 | Std:   0.00
[13:35:07.224] DATA_LOSS_DETECTED: CB100-2599429 - 78s jump detected (Total jumps: 3)
[13:35:07.224] CB100-2599429--> TS: 1766752503.933 | Pulse:      0 | Charge:     44 | Min:     0 | Max:     0 | ADC:      0 | Mean:   0.00 | Std:   0.00
[13:35:07.355] CB100-2598385--> TS: 1766752503.064 | Pulse:      0 | Charge:     57 | Min:     0 | Max:     0 | ADC:      0 | Mean:   0.00 | Std:   0.00
[13:35:07.355] DATA_LOSS_DETECTED: CB100-2600577 - 80s jump detected (Total jumps: 2)
[13:35:07.363] CB100-2595836--> TS: 1766752505.883 | Pulse:      0 | Charge:     50 | Min:     0 | Max:     0 | ADC:      0 | Mean:   0.00 | Std:   0.00
[13:35:07.370] CB100-2600577--> TS: 1766752505.001 | Pulse:      0 | Charge:     52 | Min:     0 | Max:     0 | ADC:      0 | Mean:   0.00 | Std:   0.00
[13:35:07.414] CB100-2599429--> TS: 1766752504.134 | Pulse:      0 | Charge:     42 | Min:     0 | Max:     0 | ADC:      0 | Mean:   0.00 | Std:   0.00
[13:35:07.542] CB100-2600577--> TS: 1766752505.204 | Pulse:      0 | Charge:     52 | Min:     0 | Max:     0 | ADC:      0 | Mean:   0.00 | Std:   0.00
