[13:46:13.272] 
Sensor data processing ENABLED - 20-byte sensor data will be processed and displayed
[13:46:13.321] DATA_LOSS_DETECTED: CB100-2595836 - 26s jump detected (Total jumps: 3)
[13:46:13.321] CB100-2595836--> TS: 1766753160.357 | Pulse:      0 | Charge:     49 | Min:     0 | Max:     0 | ADC:      0 | Mean:   0.00 | Std:   0.00
[13:46:13.368] DATA_LOSS_DETECTED: CB100-2599429 - 26s jump detected (Total jumps: 4)
[13:46:13.368] CB100-2599429--> TS: 1766753158.006 | Pulse:      0 | Charge:     42 | Min:     0 | Max:     0 | ADC:      0 | Mean:   0.00 | Std:   0.00
[13:46:13.429] DATA_LOSS_DETECTED: CB100-2598385 - 26s jump detected (Total jumps: 3)
[13:46:13.429] DATA_LOSS_DETECTED: CB100-2600577 - 25s jump detected (Total jumps: 3)
[13:46:13.429] CB100-2598385--> TS: 1766753156.827 | Pulse:      0 | Charge:     56 | Min:     0 | Max:     0 | ADC:      0 | Mean:   0.00 | Std:   0.00
[13:46:13.429] CB100-2600577--> TS: 1766753158.982 | Pulse:      0 | Charge:     49 | Min:     0 | Max:     0 | ADC:      0 | Mean:   0.00 | Std:   0.00
[13:46:13.492] CB100-2595836--> TS: 1766753160.560 | Pulse:      0 | Charge:     49 | Min:     0 | Max:     0 | ADC:      0 | Mean:   0.00 | Std:   0.00
[13:46:13.541] CB100-2599429--> TS: 1766753158.206 | Pulse:      0 | Charge:     40 | Min:     0 | Max:     0 | ADC:      0 | Mean:   0.00 | Std:   0.00
[13:46:13.606] CB100-2600577--> TS: 1766753159.184 | Pulse:      0 | Charge:     49 | Min:     0 | Max:     0 | ADC:      0 | Mean:   0.00 | Std:   0.00
[13:46:13.736] CB100-2595836--> TS: 1766753160.762 | Pulse:      0 | Charge:     48 | Min:     0 | Max:     0 | ADC:      0 | Mean:   0.00 | Std:   0.00
[13:46:13.736] CB100-2598385--> TS: 1766753157.030 | Pulse:      0 | Charge:     56 | Min:     0 | Max:     0 | ADC:      0 | Mean:   0.00 | Std:   0.00
[13:46:13.797] CB100-2599429--> TS: 1766753158.406 | Pulse:      0 | Charge:     41 | Min:     0 | Max:     0 | ADC:      0 | Mean:   0.00 | Std:   0.00
[13:46:13.858] CB100-2598385--> TS: 1766753157.232 | Pulse:      0 | Charge:     55 | Min:     0 | Max:     0 | ADC:      0 | Mean:   0.00 | Std:   0.00
[13:46:13.858] CB100-2600577--> TS: 1766753159.386 | Pulse:      0 | Charge:     50 | Min:     0 | Max:     0 | ADC:      0 | Mean:   0.00 | Std:   0.00
[13:46:13.906] CB100-2595836--> TS: 1766753160.965 | Pulse:      0 | Charge:     48 | Min:     0 | Max:     0 | ADC:      0 | Mean:   0.00 | Std:   0.00
[13:46:13.969] CB100-2599429--> TS: 1766753158.607 | Pulse:      0 | Charge:     41 | Min:     0 | Max:     0 | ADC:      0 | Mean:   0.00 | Std:   0.00
[13:46:14.032] CB100-2600577--> TS: 1766753159.588 | Pulse:      0 | Charge:     49 | Min:     0 | Max:     0 | ADC:      0 | Mean:   0.00 | Std:   0.00
[13:46:14.080] CB100-2598385--> TS: 1766753157.435 | Pulse:      0 | Charge:     56 | Min:     0 | Max:     0 | ADC:      0 | Mean:   0.00 | Std:   0.00
[13:46:14.159] CB100-2595836--> TS: 1766753161.167 | Pulse:      0 | Charge:     50 | Min:     0 | Max:     0 | ADC:      0 | Mean:   0.00 | Std:   0.00
[13:46:14.207] CB100-2599429--> TS: 1766753158.807 | Pulse:      0 | Charge:     41 | Min:     0 | Max:     0 | ADC:      0 | Mean:   0.00 | Std:   0.00
[13:46:14.216] CB100-2600577--> TS: 1766753159.790 | Pulse:      0 | Charge:     50 | Min:     0 | Max:     0 | ADC:      0 | Mean:   0.00 | Std:   0.00
[13:46:14.270] CB100-2598385--> TS: 1766753157.637 | Pulse:      0 | Charge:     56 | Min:     0 | Max:     0 | ADC:      0 | Mean:   0.00 | Std:   0.00
[13:46:14.337] CB100-2595836--> TS: 1766753161.370 | Pulse:      0 | Charge:     48 | Min:     0 | Max:     0 | ADC:      0 | Mean:   0.00 | Std:   0.00
[13:46:14.380] CB100-2599429--> TS: 1766753159.007 | Pulse:      0 | Charge:     40 | Min:     0 | Max:     0 | ADC:      0 | Mean:   0.00 | Std:   0.00
[13:46:14.445] CB100-2600577--> TS: 1766753159.992 | Pulse:      0 | Charge:     50 | Min:     0 | Max:     0 | ADC:      0 | Mean:   0.00 | Std:   0.00
