[10:11:06.585] 
Sensor data processing ENABLED - 20-byte sensor data will be processed and displayed
[10:11:06.613] CB100-2596488--> TS: 1766999465.639 | Pulse:      0 | Charge:     53 | Min:     0 | Max:     0 | ADC:      0 | Mean:   0.00 | Std:   0.00
[10:11:06.680] CB100-2595713--> TS: 1766999466.481 | Pulse:      0 | Charge:     59 | Min:     0 | Max:     0 | ADC:      0 | Mean:   0.00 | Std:   0.00
[10:11:06.680] CB100-2597697--> TS: 1766999465.766 | Pulse:      0 | Charge:     49 | Min:     0 | Max:     0 | ADC:      0 | Mean:   0.00 | Std:   0.00
[10:11:06.788] CB100-2599476--> TS: 1766999465.778 | Pulse:      0 | Charge:     84 | Min:     0 | Max:     0 | ADC:      0 | Mean:   0.00 | Std:   0.00
[10:11:06.791] CB100-2596488--> TS: 1766999465.845 | Pulse:      0 | Charge:     52 | Min:     0 | Max:     0 | ADC:      0 | Mean:   0.00 | Std:   0.00
[10:11:06.793] CB100-2597697--> TS: 1766999465.971 | Pulse:      1 | Charge:     50 | Min:     0 | Max:     1 | ADC:      0 | Mean:   0.02 | Std:   0.14
[10:11:06.857] CB100-2595713--> TS: 1766999466.690 | Pulse:      0 | Charge:     59 | Min:     0 | Max:     0 | ADC:      0 | Mean:   0.00 | Std:   0.00
[10:11:06.970] CB100-2599476--> TS: 1766999465.984 | Pulse:      0 | Charge:     83 | Min:     0 | Max:     0 | ADC:      0 | Mean:   0.00 | Std:   0.00
[10:11:06.975] CB100-2597697--> TS: 1766999466.176 | Pulse:      0 | Charge:     50 | Min:     0 | Max:     0 | ADC:      0 | Mean:   0.00 | Std:   0.00
[10:11:07.097] CB100-2595713--> TS: 1766999466.898 | Pulse:      0 | Charge:     60 | Min:     0 | Max:     0 | ADC:      0 | Mean:   0.00 | Std:   0.00
[10:11:07.152] CB100-2596488--> TS: 1766999466.050 | Pulse:      0 | Charge:     53 | Min:     0 | Max:     0 | ADC:      0 | Mean:   0.00 | Std:   0.00
[10:11:07.209] CB100-2599476--> TS: 1766999466.189 | Pulse:      0 | Charge:     83 | Min:     0 | Max:     0 | ADC:      0 | Mean:   0.00 | Std:   0.00
[10:11:07.216] CB100-2597697--> TS: 1766999466.381 | Pulse:      0 | Charge:     50 | Min:     0 | Max:     0 | ADC:      0 | Mean:   0.00 | Std:   0.00
[10:11:07.279] CB100-2595713--> TS: 1766999467.106 | Pulse:      0 | Charge:     59 | Min:     0 | Max:     0 | ADC:      0 | Mean:   0.00 | Std:   0.00
[10:11:07.392] CB100-2596488--> TS: 1766999466.256 | Pulse:      0 | Charge:     52 | Min:     0 | Max:     0 | ADC:      0 | Mean:   0.00 | Std:   0.00
[10:11:07.394] CB100-2597697--> TS: 1766999466.586 | Pulse:      0 | Charge:     50 | Min:     0 | Max:     0 | ADC:      0 | Mean:   0.00 | Std:   0.00
[10:11:07.453] CB100-2596488--> TS: 1766999466.462 | Pulse:      0 | Charge:     52 | Min:     0 | Max:     0 | ADC:      0 | Mean:   0.00 | Std:   0.00
[10:11:07.511] CB100-2599476--> TS: 1766999466.395 | Pulse:      0 | Charge:     83 | Min:     0 | Max:     0 | ADC:      0 | Mean:   0.00 | Std:   0.00
[10:11:07.521] CB100-2595713--> TS: 1766999467.315 | Pulse:      0 | Charge:     60 | Min:     0 | Max:     0 | ADC:      0 | Mean:   0.00 | Std:   0.00
[10:11:07.630] CB100-2599476--> TS: 1766999466.601 | Pulse:      0 | Charge:     83 | Min:     0 | Max:     0 | ADC:      0 | Mean:   0.00 | Std:   0.00
[10:11:07.634] CB100-2597697--> TS: 1766999466.791 | Pulse:      0 | Charge:     49 | Min:     0 | Max:     0 | ADC:      0 | Mean:   0.00 | Std:   0.00
[10:11:07.692] CB100-2596488--> TS: 1766999466.668 | Pulse:      0 | Charge:     52 | Min:     0 | Max:     0 | ADC:      0 | Mean:   0.00 | Std:   0.00
[10:11:07.697] CB100-2595713--> TS: 1766999467.523 | Pulse:      0 | Charge:     59 | Min:     0 | Max:     0 | ADC:      0 | Mean:   0.00 | Std:   0.00
[10:11:07.811] CB100-2599476--> TS: 1766999466.807 | Pulse:      0 | Charge:     83 | Min:     0 | Max:     0 | ADC:      0 | Mean:   0.00 | Std:   0.00
[10:11:07.813] CB100-2597697--> TS: 1766999466.997 | Pulse:      0 | Charge:     49 | Min:     0 | Max:     0 | ADC:      0 | Mean:   0.00 | Std:   0.00
[10:11:07.871] CB100-2596488--> TS: 1766999466.873 | Pulse:      0 | Charge:     53 | Min:     0 | Max:     0 | ADC:      0 | Mean:   0.00 | Std:   0.00
[10:11:07.937] CB100-2595713--> TS: 1766999467.732 | Pulse:      0 | Charge:     60 | Min:     0 | Max:     0 | ADC:      0 | Mean:   0.00 | Std:   0.00
[10:11:08.050] CB100-2599476--> TS: 1766999467.012 | Pulse:      1 | Charge:     83 | Min:     0 | Max:     1 | ADC:      0 | Mean:   0.01 | Std:   0.10
[10:11:08.055] CB100-2597697--> TS: 1766999467.202 | Pulse:      0 | Charge:     49 | Min:     0 | Max:     0 | ADC:      0 | Mean:   0.00 | Std:   0.00
[10:11:08.113] CB100-2596488--> TS: 1766999467.079 | Pulse:      0 | Charge:     52 | Min:     0 | Max:     0 | ADC:      0 | Mean:   0.00 | Std:   0.00
[10:11:08.116] CB100-2595713--> TS: 1766999467.940 | Pulse:      0 | Charge:     60 | Min:     0 | Max:     0 | ADC:      0 | Mean:   0.00 | Std:   0.00
[10:11:08.230] CB100-2599476--> TS: 1766999467.218 | Pulse:      0 | Charge:     83 | Min:     0 | Max:     0 | ADC:      0 | Mean:   0.00 | Std:   0.00
[10:11:08.233] CB100-2596488--> TS: 1766999467.285 | Pulse:      0 | Charge:     53 | Min:     0 | Max:     0 | ADC:      0 | Mean:   0.00 | Std:   0.00
[10:11:08.235] CB100-2597697--> TS: 1766999467.407 | Pulse:      0 | Charge:     50 | Min:     0 | Max:     0 | ADC:      0 | Mean:   0.00 | Std:   0.00
[10:11:08.357] CB100-2595713--> TS: 1766999468.148 | Pulse:      0 | Charge:     60 | Min:     0 | Max:     0 | ADC:      0 | Mean:   0.00 | Std:   0.00
[10:11:08.470] CB100-2599476--> TS: 1766999467.424 | Pulse:      0 | Charge:     83 | Min:     0 | Max:     0 | ADC:      0 | Mean:   0.00 | Std:   0.00
[10:11:08.473] CB100-2596488--> TS: 1766999467.491 | Pulse:      0 | Charge:     52 | Min:     0 | Max:     0 | ADC:      0 | Mean:   0.00 | Std:   0.00
[10:11:08.475] CB100-2597697--> TS: 1766999467.612 | Pulse:      0 | Charge:     50 | Min:     0 | Max:     0 | ADC:      0 | Mean:   0.00 | Std:   0.00
[10:11:08.544] CB100-2595713--> TS: 1766999468.357 | Pulse:      0 | Charge:     58 | Min:     0 | Max:     0 | ADC:      0 | Mean:   0.00 | Std:   0.00
[10:11:08.640] CB100-2599476--> TS: 1766999467.630 | Pulse:      0 | Charge:     82 | Min:     0 | Max:     0 | ADC:      0 | Mean:   0.00 | Std:   0.00
[10:11:08.640] CB100-2596488--> TS: 1766999467.696 | Pulse:      0 | Charge:     52 | Min:     0 | Max:     0 | ADC:      0 | Mean:   0.00 | Std:   0.00
[10:11:08.654] CB100-2597697--> TS: 1766999467.817 | Pulse:      0 | Charge:     50 | Min:     0 | Max:     0 | ADC:      0 | Mean:   0.00 | Std:   0.00
[10:11:08.777] CB100-2595713--> TS: 1766999468.565 | Pulse:      0 | Charge:     60 | Min:     0 | Max:     0 | ADC:      0 | Mean:   0.00 | Std:   0.00
[10:11:08.895] CB100-2597697--> TS: 1766999468.023 | Pulse:      0 | Charge:     50 | Min:     0 | Max:     0 | ADC:      0 | Mean:   0.00 | Std:   0.00
[10:11:08.895] CB100-2596488--> TS: 1766999467.902 | Pulse:      0 | Charge:     52 | Min:     0 | Max:     0 | ADC:      0 | Mean:   0.00 | Std:   0.00
[10:11:08.895] CB100-2599476--> TS: 1766999467.835 | Pulse:      0 | Charge:     83 | Min:     0 | Max:     0 | ADC:      0 | Mean:   0.00 | Std:   0.00
[10:11:08.958] CB100-2595713--> TS: 1766999468.774 | Pulse:      0 | Charge:     59 | Min:     0 | Max:     0 | ADC:      0 | Mean:   0.00 | Std:   0.00
[10:11:09.071] CB100-2599476--> TS: 1766999468.041 | Pulse:      0 | Charge:     82 | Min:     0 | Max:     0 | ADC:      0 | Mean:   0.00 | Std:   0.00
[10:11:09.085] CB100-2596488--> TS: 1766999468.108 | Pulse:      0 | Charge:     52 | Min:     0 | Max:     0 | ADC:      0 | Mean:   0.00 | Std:   0.00
[10:11:09.083] CB100-2597697--> TS: 1766999468.228 | Pulse:      0 | Charge:     50 | Min:     0 | Max:     0 | ADC:      0 | Mean:   0.00 | Std:   0.00
[10:11:09.192] CB100-2595713--> TS: 1766999468.982 | Pulse:      0 | Charge:     58 | Min:     0 | Max:     0 | ADC:      0 | Mean:   0.00 | Std:   0.00
[10:11:09.310] CB100-2599476--> TS: 1766999468.247 | Pulse:      0 | Charge:     82 | Min:     0 | Max:     0 | ADC:      0 | Mean:   0.00 | Std:   0.00
[10:11:09.315] CB100-2597697--> TS: 1766999468.433 | Pulse:      0 | Charge:     49 | Min:     0 | Max:     0 | ADC:      0 | Mean:   0.00 | Std:   0.00
[10:11:09.315] CB100-2596488--> TS: 1766999468.314 | Pulse:      0 | Charge:     53 | Min:     0 | Max:     0 | ADC:      0 | Mean:   0.00 | Std:   0.00
[10:11:09.378] CB100-2595713--> TS: 1766999469.190 | Pulse:      0 | Charge:     60 | Min:     0 | Max:     0 | ADC:      0 | Mean:   0.00 | Std:   0.00
[10:11:09.489] CB100-2596488--> TS: 1766999468.519 | Pulse:      0 | Charge:     52 | Min:     0 | Max:     0 | ADC:      0 | Mean:   0.00 | Std:   0.00
[10:11:09.489] CB100-2597697--> TS: 1766999468.638 | Pulse:      0 | Charge:     49 | Min:     0 | Max:     0 | ADC:      0 | Mean:   0.00 | Std:   0.00
[10:11:09.555] CB100-2599476--> TS: 1766999468.453 | Pulse:      0 | Charge:     84 | Min:     0 | Max:     0 | ADC:      0 | Mean:   0.00 | Std:   0.00
[10:11:09.618] CB100-2595713--> TS: 1766999469.399 | Pulse:      0 | Charge:     59 | Min:     0 | Max:     0 | ADC:      0 | Mean:   0.00 | Std:   0.00
[10:11:09.676] CB100-2597697--> TS: 1766999468.843 | Pulse:      0 | Charge:     50 | Min:     0 | Max:     0 | ADC:      0 | Mean:   0.00 | Std:   0.00
[10:11:09.728] CB100-2599476--> TS: 1766999468.658 | Pulse:      0 | Charge:     85 | Min:     0 | Max:     0 | ADC:      0 | Mean:   0.00 | Std:   0.00
[10:11:09.732] CB100-2596488--> TS: 1766999468.725 | Pulse:      0 | Charge:     52 | Min:     0 | Max:     0 | ADC:      0 | Mean:   0.00 | Std:   0.00
[10:11:09.797] CB100-2595713--> TS: 1766999469.607 | Pulse:      0 | Charge:     60 | Min:     0 | Max:     0 | ADC:      0 | Mean:   0.00 | Std:   0.00
[10:11:09.908] CB100-2597697--> TS: 1766999469.048 | Pulse:      0 | Charge:     50 | Min:     0 | Max:     0 | ADC:      0 | Mean:   0.00 | Std:   0.00
[10:11:09.908] CB100-2596488--> TS: 1766999468.931 | Pulse:      0 | Charge:     52 | Min:     0 | Max:     0 | ADC:      0 | Mean:   0.00 | Std:   0.00
[10:11:09.964] CB100-2599476--> TS: 1766999468.864 | Pulse:      0 | Charge:     83 | Min:     0 | Max:     0 | ADC:      0 | Mean:   0.00 | Std:   0.00
[10:11:10.101] CB100-2595713--> TS: 1766999469.815 | Pulse:      0 | Charge:     59 | Min:     0 | Max:     0 | ADC:      0 | Mean:   0.00 | Std:   0.00
[10:11:10.101] CB100-2597697--> TS: 1766999469.254 | Pulse:      0 | Charge:     50 | Min:     0 | Max:     0 | ADC:      0 | Mean:   0.00 | Std:   0.00
[10:11:10.149] CB100-2599476--> TS: 1766999469.070 | Pulse:      0 | Charge:     83 | Min:     0 | Max:     0 | ADC:      0 | Mean:   0.00 | Std:   0.00
[10:11:10.152] CB100-2596488--> TS: 1766999469.137 | Pulse:      0 | Charge:     52 | Min:     0 | Max:     0 | ADC:      0 | Mean:   0.00 | Std:   0.00
[10:11:10.217] CB100-2595713--> TS: 1766999470.024 | Pulse:      0 | Charge:     59 | Min:     0 | Max:     0 | ADC:      0 | Mean:   0.00 | Std:   0.00
[10:11:10.329] CB100-2599476--> TS: 1766999469.276 | Pulse:      0 | Charge:     83 | Min:     0 | Max:     0 | ADC:      0 | Mean:   0.00 | Std:   0.00
[10:11:10.333] CB100-2596488--> TS: 1766999469.342 | Pulse:      0 | Charge:     52 | Min:     0 | Max:     0 | ADC:      0 | Mean:   0.00 | Std:   0.00
[10:11:10.386] CB100-2597697--> TS: 1766999469.459 | Pulse:      0 | Charge:     49 | Min:     0 | Max:     0 | ADC:      0 | Mean:   0.00 | Std:   0.00
[10:11:10.458] CB100-2595713--> TS: 1766999470.232 | Pulse:      0 | Charge:     60 | Min:     0 | Max:     0 | ADC:      0 | Mean:   0.00 | Std:   0.00
[10:11:10.510] CB100-2599476--> TS: 1766999469.481 | Pulse:      0 | Charge:     84 | Min:     0 | Max:     0 | ADC:      0 | Mean:   0.00 | Std:   0.00
[10:11:10.517] CB100-2597697--> TS: 1766999469.664 | Pulse:      0 | Charge:     50 | Min:     0 | Max:     0 | ADC:      0 | Mean:   0.00 | Std:   0.00
