[11:23:31.108] WARNING: CB100-2598888 [00:80:E1:27:A7:E8] - No data received for 24.6 seconds
[11:23:31.108] WARNING: CB100-2598364 [00:80:E1:27:A5:DC] - No data received for 24.6 seconds
[11:23:31.108] WARNING: CB100-2559391 [00:80:E1:27:0D:9F] - No data received for 24.7 seconds
[11:23:31.110] WARNING: CB100-2597693 [00:80:E1:27:A3:3D] - No data received for 24.6 seconds
[11:23:31.300] 
Sensor data processing ENABLED - 20-byte sensor data will be processed and displayed
[11:23:31.349] DATA_LOSS_DETECTED: CB100-2598888 - 24s jump detected (Total jumps: 2)
[11:23:31.363] CB100-2598888--> TS: 1767003785.982 | Pulse:      0 | Charge:     50 | Min:     0 | Max:     0 | ADC:      0 | Mean:   0.00 | Std:   0.00
[11:23:31.475] DATA_LOSS_DETECTED: CB100-2559391 - 25s jump detected (Total jumps: 2)
[11:23:31.475] CB100-2559391--> TS: 1767003793.344 | Pulse:      0 | Charge:     50 | Min:     0 | Max:     0 | ADC:      0 | Mean:   0.00 | Std:   0.00
[11:23:31.542] DATA_LOSS_DETECTED: CB100-2598364 - 24s jump detected (Total jumps: 2)
[11:23:31.542] DATA_LOSS_DETECTED: CB100-2597693 - 24s jump detected (Total jumps: 2)
[11:23:31.542] CB100-2598364--> TS: 1767003792.867 | Pulse:      0 | Charge:     46 | Min:     0 | Max:     0 | ADC:      0 | Mean:   0.00 | Std:   0.00
[11:23:31.555] CB100-2597693--> TS: 1767003788.454 | Pulse:      0 | Charge:     49 | Min:     0 | Max:     0 | ADC:      0 | Mean:   0.00 | Std:   0.00
[11:23:31.714] CB100-2559391--> TS: 1767003793.548 | Pulse:      0 | Charge:     50 | Min:     0 | Max:     0 | ADC:      0 | Mean:   0.00 | Std:   0.00
[11:23:31.714] CB100-2598888--> TS: 1767003786.182 | Pulse:      0 | Charge:     50 | Min:     0 | Max:     0 | ADC:      0 | Mean:   0.00 | Std:   0.00
[11:23:31.714] CB100-2598364--> TS: 1767003793.070 | Pulse:      0 | Charge:     47 | Min:     0 | Max:     0 | ADC:      0 | Mean:   0.00 | Std:   0.00
[11:23:31.714] CB100-2597693--> TS: 1767003788.656 | Pulse:      0 | Charge:     49 | Min:     0 | Max:     0 | ADC:      0 | Mean:   0.00 | Std:   0.00
