device_uid,dosimeter_label,captured_at,log_time,created_at,pulse_count,charge_count,adc_value,source_file,dosimeter_num,monitoring_session_id,id,temperature_c,lag_seconds_raw,lag_seconds
CB100-2597626,CB100-2597626,2025-12-29 08:46:40.117,2025-12-29 09:46:40.907,2025-12-29 08:46:40.117,0,51,0,Batch002_2025-12-29_10min.txt,626,8,36670,35.6,3600.79,0.7899999999999636
CB100-2597626,CB100-2597626,2025-12-29 08:46:40.322,2025-12-29 09:46:41.148,2025-12-29 08:46:40.322,0,52,0,Batch002_2025-12-29_10min.txt,626,8,36673,35.6,3600.826,0.8260000000000218
CB100-2597626,CB100-2597626,2025-12-29 08:46:40.528,2025-12-29 09:46:41.329,2025-12-29 08:46:40.528,0,50,0,Batch002_2025-12-29_10min.txt,626,8,36678,35.6,3600.801,0.8009999999999309
CB100-2597626,CB100-2597626,2025-12-29 08:46:40.733,2025-12-29 09:46:41.569,2025-12-29 08:46:40.733,0,51,0,Batch002_2025-12-29_10min.txt,626,8,36682,35.6,3600.836,0.8359999999997854
CB100-2597626,CB100-2597626,2025-12-29 08:46:40.938,2025-12-29 09:46:41.748,2025-12-29 08:46:40.938,0,51,0,Batch002_2025-12-29_10min.txt,626,8,36686,35.6,3600.81,0.8099999999999454
CB100-2597626,CB100-2597626,2025-12-29 08:46:41.143,2025-12-29 09:46:41.988,2025-12-29 08:46:41.143,0,52,0,Batch002_2025-12-29_10min.txt,626,8,36690,35.6,3600.845,0.8449999999997999
CB100-2597626,CB100-2597626,2025-12-29 08:46:41.348,2025-12-29 09:46:42.229,2025-12-29 08:46:41.348,0,52,0,Batch002_2025-12-29_10min.txt,626,8,36695,35.6,3600.881,0.8809999999998581
CB100-2597626,CB100-2597626,2025-12-29 08:46:41.554,2025-12-29 09:46:42.347,2025-12-29 08:46:41.554,0,52,0,Batch002_2025-12-29_10min.txt,626,8,36697,35.6,3600.793,0.79300000000012
CB100-2597626,CB100-2597626,2025-12-29 08:46:41.759,2025-12-29 09:46:42.588,2025-12-29 08:46:41.759,0,51,0,Batch002_2025-12-29_10min.txt,626,8,36701,35.6,3600.829,0.8290000000001783
CB100-2597626,CB100-2597626,2025-12-29 08:46:41.964,2025-12-29 09:46:42.768,2025-12-29 08:46:41.964,0,52,0,Batch002_2025-12-29_10min.txt,626,8,36706,35.6,3600.804,0.8040000000000873
